dt64,id,river_km_id,datetime,water_perc,ice_perc,other_perc,cloud_perc,nd_perc,qc,source
2016-09-01 17:19:27,1867297,348865,2016-09-01T17:19:27,91,6,0,0,3,low quality,Sentinel-1 Sentinel-2
2016-09-03 05:48:02,1867298,348865,2016-09-03T05:48:02,94,4,0,0,2,low quality,Sentinel-1
2016-09-08 10:54:16,1867299,348865,2016-09-08T10:54:16,91,7,0,0,2,low quality,Sentinel-1 Sentinel-2
2016-09-11 11:04:38,1867300,348865,2016-09-11T11:04:38,0,0,0,16,84,high quality,Sentinel-2
2016-09-13 17:19:27,1867301,348865,2016-09-13T17:19:27,91,7,0,0,2,low quality,Sentinel-1
2016-09-15 17:03:16,1867302,348865,2016-09-15T17:03:16,93,4,0,0,3,low quality,Sentinel-1 Sentinel-2
2016-09-18 10:50:22,1867303,348865,2016-09-18T10:50:22,96,0,1,0,3,high quality,Sentinel-1 Sentinel-2
2016-09-20 11:33:13,1867304,348865,2016-09-20T11:33:13,90,8,0,0,2,low quality,Sentinel-1 Sentinel-2
2016-09-21 10:57:32,1867305,348865,2016-09-21T10:57:32,0,0,0,62,38,high quality,Sentinel-2
2016-09-25 17:19:29,1867306,348865,2016-09-25T17:19:29,91,7,0,0,2,low quality,Sentinel-1 Sentinel-2
2016-09-26 05:55:44,1867307,348865,2016-09-26T05:55:44,91,7,0,0,2,low quality,Sentinel-1
2016-09-27 05:48:03,1867308,348865,2016-09-27T05:48:03,94,4,0,0,2,low quality,Sentinel-1
2016-10-01 17:18:52,1867309,348865,2016-10-01T17:18:52,91,7,0,0,2,low quality,Sentinel-1 Sentinel-2
2016-10-02 10:30:17,1867310,348865,2016-10-02T10:30:17,90,8,0,0,2,low quality,Sentinel-1 Sentinel-2
2016-10-03 05:47:24,1867311,348865,2016-10-03T05:47:24,95,3,0,0,2,low quality,Sentinel-1
2016-10-07 17:19:29,1867312,348865,2016-10-07T17:19:29,91,6,0,0,3,low quality,Sentinel-1 Sentinel-2
2016-10-08 17:10:48,1867313,348865,2016-10-08T17:10:48,94,4,0,0,2,medium quality,Sentinel-1 Sentinel-2
2016-10-09 05:48:03,1867314,348865,2016-10-09T05:48:03,95,4,0,0,1,low quality,Sentinel-1
2016-10-11 16:47:05,1867315,348865,2016-10-11T16:47:05,8,0,2,52,38,high quality,Sentinel-1 Sentinel-2
2016-10-13 17:18:59,1867316,348865,2016-10-13T17:18:59,92,6,0,0,2,low quality,Sentinel-1
2016-10-14 11:10:08,1867317,348865,2016-10-14T11:10:08,88,10,0,0,2,low quality,Sentinel-1 Sentinel-2
2016-10-15 17:02:40,1867318,348865,2016-10-15T17:02:40,94,3,0,0,3,low quality,Sentinel-1 Sentinel-2
2016-10-19 17:19:29,1867319,348865,2016-10-19T17:19:29,91,7,0,0,2,low quality,Sentinel-1
2016-10-20 17:10:48,1867320,348865,2016-10-20T17:10:48,92,7,0,0,1,low quality,Sentinel-1 Sentinel-2
2016-10-21 17:03:32,1867321,348865,2016-10-21T17:03:32,92,3,3,0,2,low quality,Sentinel-1 Sentinel-2
2016-10-25 17:18:59,1867322,348865,2016-10-25T17:18:59,92,6,0,0,2,low quality,Sentinel-1
2016-10-26 05:56:26,1867323,348865,2016-10-26T05:56:26,92,7,0,0,1,low quality,Sentinel-1
2016-10-27 11:21:46,1867324,348865,2016-10-27T11:21:46,94,4,0,0,2,low quality,Sentinel-1 Sentinel-2
2016-10-28 16:53:57,1867325,348865,2016-10-28T16:53:57,1,0,1,76,22,high quality,Sentinel-1 Sentinel-2
2016-10-31 17:19:29,1867326,348865,2016-10-31T17:19:29,91,7,0,0,2,low quality,Sentinel-1
2016-11-01 17:10:48,1867327,348865,2016-11-01T17:10:48,91,7,0,0,2,low quality,Sentinel-1 Sentinel-2
2016-11-02 05:48:03,1867328,348865,2016-11-02T05:48:03,94,4,0,0,2,low quality,Sentinel-1
2016-11-06 17:18:59,1867329,348865,2016-11-06T17:18:59,92,6,0,0,2,low quality,Sentinel-1 Sentinel-2
2016-11-07 10:52:38,1867330,348865,2016-11-07T10:52:38,97,1,1,0,1,high quality,Sentinel-1 Sentinel-2
2016-11-08 10:24:25,1867331,348865,2016-11-08T10:24:25,96,3,0,0,1,low quality,Sentinel-1 Sentinel-2
2016-11-10 11:02:57,1867332,348865,2016-11-10T11:02:57,3,0,1,94,2,high quality,Sentinel-2
2016-11-12 17:19:29,1867333,348865,2016-11-12T17:19:29,91,7,0,0,2,low quality,Sentinel-1
2016-11-13 17:10:48,1867334,348865,2016-11-13T17:10:48,91,7,0,0,2,low quality,Sentinel-1 Sentinel-2
2016-11-14 05:48:03,1867335,348865,2016-11-14T05:48:03,94,4,0,0,2,low quality,Sentinel-1
2016-11-17 10:53:25,1867336,348865,2016-11-17T10:53:25,1,2,0,95,2,high quality,Sentinel-1 Sentinel-2
2016-11-18 17:18:57,1867337,348865,2016-11-18T17:18:57,91,7,0,0,2,low quality,Sentinel-1
2016-11-19 05:56:25,1867338,348865,2016-11-19T05:56:25,91,7,0,0,2,low quality,Sentinel-1
2016-11-24 17:19:29,1867339,348865,2016-11-24T17:19:29,91,7,0,0,2,low quality,Sentinel-1
2016-11-25 05:55:40,1867340,348865,2016-11-25T05:55:40,91,7,0,0,2,low quality,Sentinel-1
2016-11-25 17:10:48,1867341,348865,2016-11-25T17:10:48,85,13,0,0,2,low quality,Sentinel-1
2016-11-26 05:48:03,1867342,348865,2016-11-26T05:48:03,94,4,0,0,2,low quality,Sentinel-1
2016-11-27 10:54:04,1867343,348865,2016-11-27T10:54:04,78,0,1,20,1,medium quality,Sentinel-2
2016-11-30 17:18:57,1867344,348865,2016-11-30T17:18:57,91,7,0,0,2,low quality,Sentinel-1 Sentinel-2
2016-12-01 05:56:25,1867345,348865,2016-12-01T05:56:25,90,7,0,0,3,low quality,Sentinel-1
2016-12-02 05:47:22,1867346,348865,2016-12-02T05:47:22,95,3,0,0,2,low quality,Sentinel-1
2016-12-06 17:19:27,1867347,348865,2016-12-06T17:19:27,92,7,0,0,1,low quality,Sentinel-1
2016-12-07 05:55:40,1867348,348865,2016-12-07T05:55:40,91,7,0,0,2,low quality,Sentinel-1
2016-12-07 17:10:48,1867349,348865,2016-12-07T17:10:48,85,13,0,0,2,low quality,Sentinel-1
2016-12-08 17:03:32,1867350,348865,2016-12-08T17:03:32,94,5,0,0,1,low quality,Sentinel-1 Sentinel-2
2016-12-12 17:18:57,1867351,348865,2016-12-12T17:18:57,92,6,0,0,2,low quality,Sentinel-1
2016-12-13 05:56:25,1867352,348865,2016-12-13T05:56:25,91,7,0,0,2,low quality,Sentinel-1
2016-12-14 10:44:35,1867353,348865,2016-12-14T10:44:35,95,3,0,0,2,low quality,Sentinel-1 Sentinel-2
2016-12-18 17:19:27,1867354,348865,2016-12-18T17:19:27,91,7,0,0,2,low quality,Sentinel-1
2016-12-19 05:55:40,1867355,348865,2016-12-19T05:55:40,92,7,0,0,1,low quality,Sentinel-1
2016-12-19 17:10:47,1867356,348865,2016-12-19T17:10:47,85,13,0,0,2,low quality,Sentinel-1
2016-12-20 05:48:02,1867357,348865,2016-12-20T05:48:02,94,4,0,0,2,low quality,Sentinel-1
2016-12-24 17:18:35,1867358,348865,2016-12-24T17:18:35,92,7,0,0,1,low quality,Sentinel-1 Sentinel-2
2016-12-25 05:56:23,1867359,348865,2016-12-25T05:56:23,91,7,0,0,2,low quality,Sentinel-1
2016-12-26 05:47:22,1867360,348865,2016-12-26T05:47:22,94,4,0,0,2,low quality,Sentinel-1
2016-12-30 17:19:27,1867361,348865,2016-12-30T17:19:27,91,8,0,0,1,low quality,Sentinel-1
2016-12-31 05:55:39,1867362,348865,2016-12-31T05:55:39,90,8,0,0,2,low quality,Sentinel-1
2016-12-31 17:10:50,1867363,348865,2016-12-31T17:10:50,85,13,0,0,2,low quality,Sentinel-1
2017-01-01 05:48:00,1867364,348865,2017-01-01T05:48:00,94,4,0,0,2,low quality,Sentinel-1
2017-01-05 17:18:33,1867365,348865,2017-01-05T17:18:33,92,6,0,0,2,low quality,Sentinel-1
2017-01-06 05:56:23,1867366,348865,2017-01-06T05:56:23,92,6,0,0,2,low quality,Sentinel-1
2017-01-07 05:47:20,1867367,348865,2017-01-07T05:47:20,94,4,0,0,2,low quality,Sentinel-1
2017-01-11 17:19:26,1867368,348865,2017-01-11T17:19:26,90,8,0,0,2,low quality,Sentinel-1
2017-01-12 17:10:48,1867369,348865,2017-01-12T17:10:48,91,7,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-01-13 17:03:29,1867370,348865,2017-01-13T17:03:29,94,4,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-01-16 16:38:15,1867371,348865,2017-01-16T16:38:15,79,0,1,18,2,medium quality,Sentinel-1 Sentinel-2
2017-01-17 17:18:55,1867372,348865,2017-01-17T17:18:55,92,6,0,0,2,low quality,Sentinel-1
2017-01-18 05:56:22,1867373,348865,2017-01-18T05:56:22,92,7,0,0,1,low quality,Sentinel-1
2017-01-19 17:02:31,1867374,348865,2017-01-19T17:02:31,94,4,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-01-23 17:19:26,1867375,348865,2017-01-23T17:19:26,91,7,0,0,2,low quality,Sentinel-1
2017-01-24 05:55:37,1867376,348865,2017-01-24T05:55:37,92,6,0,0,2,low quality,Sentinel-1
2017-01-24 17:10:45,1867377,348865,2017-01-24T17:10:45,85,13,0,0,2,low quality,Sentinel-1
2017-01-25 05:47:59,1867378,348865,2017-01-25T05:47:59,94,4,0,0,2,low quality,Sentinel-1
2017-01-26 16:54:35,1867379,348865,2017-01-26T16:54:35,0,0,0,62,38,high quality,Sentinel-1 Sentinel-2
2017-01-29 17:18:55,1867380,348865,2017-01-29T17:18:55,91,7,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-01-30 10:32:49,1867381,348865,2017-01-30T10:32:49,91,7,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-01-31 05:47:20,1867382,348865,2017-01-31T05:47:20,94,4,0,0,2,low quality,Sentinel-1
2017-02-04 17:19:24,1867383,348865,2017-02-04T17:19:24,91,6,0,0,3,low quality,Sentinel-1 Sentinel-2
2017-02-05 17:10:45,1867384,348865,2017-02-05T17:10:45,91,7,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-02-06 05:47:59,1867385,348865,2017-02-06T05:47:59,94,4,0,0,2,low quality,Sentinel-1
2017-02-08 16:47:02,1867386,348865,2017-02-08T16:47:02,8,0,0,89,3,high quality,Sentinel-1 Sentinel-2
2017-02-10 17:18:55,1867387,348865,2017-02-10T17:18:55,92,6,0,0,2,low quality,Sentinel-1
2017-02-11 11:11:55,1867388,348865,2017-02-11T11:11:55,91,7,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-02-12 17:02:30,1867389,348865,2017-02-12T17:02:30,95,3,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-02-15 16:38:43,1867390,348865,2017-02-15T16:38:43,94,0,1,4,1,high quality,Sentinel-1 Sentinel-2
2017-02-16 17:19:24,1867391,348865,2017-02-16T17:19:24,91,7,0,0,2,low quality,Sentinel-1
2017-02-17 05:55:37,1867392,348865,2017-02-17T05:55:37,91,7,0,0,2,low quality,Sentinel-1
2017-02-17 17:10:45,1867393,348865,2017-02-17T17:10:45,68,30,0,0,2,low quality,Sentinel-1
2017-02-18 05:47:59,1867394,348865,2017-02-18T05:47:59,95,3,0,0,2,low quality,Sentinel-1
2017-02-22 17:18:55,1867395,348865,2017-02-22T17:18:55,91,7,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-02-23 05:56:22,1867396,348865,2017-02-23T05:56:22,90,8,0,0,2,low quality,Sentinel-1
2017-02-24 11:21:07,1867397,348865,2017-02-24T11:21:07,95,3,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-02-28 17:19:24,1867398,348865,2017-02-28T17:19:24,91,7,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-03-01 17:10:44,1867399,348865,2017-03-01T17:10:44,92,7,0,0,1,low quality,Sentinel-1 Sentinel-2
2017-03-02 05:47:59,1867400,348865,2017-03-02T05:47:59,94,4,0,0,2,low quality,Sentinel-1
2017-03-06 17:18:41,1867401,348865,2017-03-06T17:18:41,91,7,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-03-07 10:50:19,1867402,348865,2017-03-07T10:50:19,95,3,0,0,2,medium quality,Sentinel-1 Sentinel-2
2017-03-08 17:02:41,1867403,348865,2017-03-08T17:02:41,96,3,0,0,1,low quality,Sentinel-1 Sentinel-2
2017-03-10 16:46:14,1867404,348865,2017-03-10T16:46:14,0,0,0,98,2,high quality,Sentinel-1 Sentinel-2
