dt64,id,river_km_id,datetime,water_perc,ice_perc,other_perc,cloud_perc,nd_perc,qc,source
2016-09-01 17:19:27,1872745,348872,2016-09-01T17:19:27,96,1,0,0,3,low quality,Sentinel-1 Sentinel-2
2016-09-03 05:48:02,1872746,348872,2016-09-03T05:48:02,96,2,0,0,2,low quality,Sentinel-1
2016-09-08 10:54:16,1872747,348872,2016-09-08T10:54:16,94,3,0,0,3,low quality,Sentinel-1 Sentinel-2
2016-09-13 17:19:27,1872748,348872,2016-09-13T17:19:27,97,1,0,0,2,low quality,Sentinel-1
2016-09-15 17:03:16,1872749,348872,2016-09-15T17:03:16,96,1,0,0,3,low quality,Sentinel-1 Sentinel-2
2016-09-18 10:50:22,1872750,348872,2016-09-18T10:50:22,93,0,4,0,3,high quality,Sentinel-1 Sentinel-2
2016-09-20 11:33:13,1872751,348872,2016-09-20T11:33:13,93,4,0,0,3,low quality,Sentinel-1 Sentinel-2
2016-09-21 10:57:32,1872752,348872,2016-09-21T10:57:32,0,0,0,96,4,high quality,Sentinel-2
2016-09-25 17:19:29,1872753,348872,2016-09-25T17:19:29,95,3,0,0,2,low quality,Sentinel-1 Sentinel-2
2016-09-26 05:55:44,1872754,348872,2016-09-26T05:55:44,92,5,0,0,3,low quality,Sentinel-1
2016-09-27 05:48:03,1872755,348872,2016-09-27T05:48:03,93,5,0,0,2,low quality,Sentinel-1
2016-10-01 17:18:52,1872756,348872,2016-10-01T17:18:52,96,1,0,0,3,low quality,Sentinel-1 Sentinel-2
2016-10-02 10:30:17,1872757,348872,2016-10-02T10:30:17,92,5,0,0,3,low quality,Sentinel-1 Sentinel-2
2016-10-03 05:47:24,1872758,348872,2016-10-03T05:47:24,96,1,0,0,3,low quality,Sentinel-1
2016-10-07 17:19:29,1872759,348872,2016-10-07T17:19:29,94,4,0,0,2,low quality,Sentinel-1 Sentinel-2
2016-10-08 17:10:48,1872760,348872,2016-10-08T17:10:48,89,2,6,0,3,medium quality,Sentinel-1 Sentinel-2
2016-10-09 05:48:03,1872761,348872,2016-10-09T05:48:03,92,5,0,0,3,low quality,Sentinel-1
2016-10-11 16:47:05,1872762,348872,2016-10-11T16:47:05,38,0,6,53,3,high quality,Sentinel-1 Sentinel-2
2016-10-13 17:18:59,1872763,348872,2016-10-13T17:18:59,94,3,0,0,3,low quality,Sentinel-1
2016-10-14 11:10:08,1872764,348872,2016-10-14T11:10:08,88,9,0,0,3,low quality,Sentinel-1 Sentinel-2
2016-10-15 17:02:40,1872765,348872,2016-10-15T17:02:40,91,5,0,0,4,low quality,Sentinel-1 Sentinel-2
2016-10-19 17:19:29,1872766,348872,2016-10-19T17:19:29,93,4,0,0,3,low quality,Sentinel-1
2016-10-20 17:10:48,1872767,348872,2016-10-20T17:10:48,89,8,0,0,3,low quality,Sentinel-1 Sentinel-2
