dt64,id,river_km_id,datetime,water_perc,ice_perc,other_perc,cloud_perc,nd_perc,qc,source
2016-09-01 17:19:27,3616166,377780,2016-09-01T17:19:27,98,1,0,0,1,2,Sentinel-1 Sentinel-2
2016-09-03 05:48:02,3616167,377780,2016-09-03T05:48:02,97,2,0,0,1,2,Sentinel-1
2016-09-08 10:54:16,3616168,377780,2016-09-08T10:54:16,96,3,0,0,1,2,Sentinel-1 Sentinel-2
2016-09-13 17:19:27,3616169,377780,2016-09-13T17:19:27,98,1,0,0,1,2,Sentinel-1
2016-09-15 17:03:16,3616170,377780,2016-09-15T17:03:16,97,1,0,0,2,2,Sentinel-1 Sentinel-2
2016-09-18 10:50:22,3616171,377780,2016-09-18T10:50:22,96,0,2,0,2,0,Sentinel-1 Sentinel-2
2016-09-20 11:33:13,3616172,377780,2016-09-20T11:33:13,96,2,0,0,2,2,Sentinel-1 Sentinel-2
2016-09-21 10:57:32,3616173,377780,2016-09-21T10:57:32,0,0,0,98,2,0,Sentinel-2
2016-09-25 17:19:29,3616174,377780,2016-09-25T17:19:29,98,1,0,0,1,2,Sentinel-1 Sentinel-2
2016-09-26 05:55:44,3616175,377780,2016-09-26T05:55:44,97,2,0,0,1,2,Sentinel-1
2016-09-27 05:48:03,3616176,377780,2016-09-27T05:48:03,97,1,0,0,2,2,Sentinel-1
2016-10-01 17:18:52,3616177,377780,2016-10-01T17:18:52,98,0,0,0,2,2,Sentinel-1 Sentinel-2
2016-10-02 10:30:17,3616178,377780,2016-10-02T10:30:17,97,1,0,0,2,2,Sentinel-1 Sentinel-2
2016-10-03 05:47:24,3616179,377780,2016-10-03T05:47:24,98,1,0,0,1,2,Sentinel-1
2016-10-07 17:19:29,3616180,377780,2016-10-07T17:19:29,98,0,0,0,2,2,Sentinel-1 Sentinel-2
2016-10-08 17:10:48,3616181,377780,2016-10-08T17:10:48,97,0,1,0,2,1,Sentinel-1 Sentinel-2
2016-10-09 05:48:03,3616182,377780,2016-10-09T05:48:03,98,1,0,0,1,2,Sentinel-1
2016-10-11 16:47:05,3616183,377780,2016-10-11T16:47:05,80,0,1,17,2,0,Sentinel-1 Sentinel-2
2016-10-13 17:18:59,3616184,377780,2016-10-13T17:18:59,98,0,0,0,2,2,Sentinel-1
2016-10-14 11:10:08,3616185,377780,2016-10-14T11:10:08,96,2,0,0,2,2,Sentinel-1 Sentinel-2
2016-10-15 17:02:40,3616186,377780,2016-10-15T17:02:40,98,1,0,0,1,2,Sentinel-1 Sentinel-2
2016-10-19 17:19:29,3616187,377780,2016-10-19T17:19:29,98,1,0,0,1,2,Sentinel-1
2016-10-20 17:10:48,3616188,377780,2016-10-20T17:10:48,96,2,0,0,2,2,Sentinel-1 Sentinel-2
2016-10-21 17:03:32,3616189,377780,2016-10-21T17:03:32,96,1,1,0,2,2,Sentinel-1 Sentinel-2
2016-10-25 17:18:59,3616190,377780,2016-10-25T17:18:59,98,1,0,0,1,2,Sentinel-1
2016-10-26 05:56:26,3616191,377780,2016-10-26T05:56:26,96,3,0,0,1,2,Sentinel-1
2016-10-27 11:21:46,3616192,377780,2016-10-27T11:21:46,96,2,0,0,2,2,Sentinel-1 Sentinel-2
2016-10-31 17:19:29,3616193,377780,2016-10-31T17:19:29,97,2,0,0,1,2,Sentinel-1
2016-11-01 17:10:48,3616194,377780,2016-11-01T17:10:48,96,3,0,0,1,2,Sentinel-1 Sentinel-2
2016-11-02 05:48:03,3616195,377780,2016-11-02T05:48:03,97,2,0,0,1,2,Sentinel-1
2016-11-06 17:18:59,3616196,377780,2016-11-06T17:18:59,97,1,0,0,2,2,Sentinel-1 Sentinel-2
2016-11-07 10:52:38,3616197,377780,2016-11-07T10:52:38,91,6,2,0,1,0,Sentinel-1 Sentinel-2
2016-11-08 10:24:25,3616198,377780,2016-11-08T10:24:25,97,2,0,0,1,2,Sentinel-1 Sentinel-2
2016-11-10 11:02:57,3616199,377780,2016-11-10T11:02:57,0,0,0,98,2,0,Sentinel-2
2016-11-12 17:19:29,3616200,377780,2016-11-12T17:19:29,97,2,0,0,1,2,Sentinel-1
2016-11-13 17:10:48,3616201,377780,2016-11-13T17:10:48,94,4,0,0,2,2,Sentinel-1 Sentinel-2
2016-11-14 05:48:03,3616202,377780,2016-11-14T05:48:03,97,1,0,0,2,2,Sentinel-1
2016-11-17 10:53:25,3616203,377780,2016-11-17T10:53:25,19,28,0,52,1,0,Sentinel-1 Sentinel-2
2016-11-18 17:18:57,3616204,377780,2016-11-18T17:18:57,98,1,0,0,1,2,Sentinel-1
2016-11-19 05:56:25,3616205,377780,2016-11-19T05:56:25,94,5,0,0,1,2,Sentinel-1
2016-11-24 17:19:29,3616206,377780,2016-11-24T17:19:29,98,1,0,0,1,2,Sentinel-1
2016-11-25 05:55:40,3616207,377780,2016-11-25T05:55:40,96,3,0,0,1,2,Sentinel-1
2016-11-25 17:10:48,3616208,377780,2016-11-25T17:10:48,97,1,0,0,2,2,Sentinel-1
2016-11-26 05:48:03,3616209,377780,2016-11-26T05:48:03,94,5,0,0,1,2,Sentinel-1
2016-11-27 10:54:04,3616210,377780,2016-11-27T10:54:04,72,11,1,14,2,1,Sentinel-2
2016-11-30 17:18:57,3616211,377780,2016-11-30T17:18:57,75,13,9,0,3,1,Sentinel-1 Sentinel-2
2016-12-01 05:56:25,3616212,377780,2016-12-01T05:56:25,90,8,0,0,2,2,Sentinel-1
2016-12-02 05:47:22,3616213,377780,2016-12-02T05:47:22,96,2,0,0,2,2,Sentinel-1
2016-12-06 17:19:27,3616214,377780,2016-12-06T17:19:27,95,4,0,0,1,2,Sentinel-1
2016-12-07 05:55:40,3616215,377780,2016-12-07T05:55:40,91,8,0,0,1,2,Sentinel-1
2016-12-07 17:10:48,3616216,377780,2016-12-07T17:10:48,95,3,0,0,2,2,Sentinel-1
2016-12-08 17:03:32,3616217,377780,2016-12-08T17:03:32,91,7,0,0,2,2,Sentinel-1 Sentinel-2
2016-12-12 17:18:57,3616218,377780,2016-12-12T17:18:57,96,2,0,0,2,2,Sentinel-1
2016-12-13 05:56:25,3616219,377780,2016-12-13T05:56:25,91,8,0,0,1,2,Sentinel-1
