dt64,id,river_km_id,datetime,water_perc,ice_perc,other_perc,cloud_perc,nd_perc,qc,source
2016-09-01 17:16:58,1743,232808,2016-09-01T17:16:58,91,6,0,0,3,low quality,Sentinel-1 Sentinel-2
2016-09-05 10:42:45,1820,232808,2016-09-05T10:42:45,77,20,0,0,3,low quality,Sentinel-1 Sentinel-2
2016-09-08 17:08:47,1885,232808,2016-09-08T17:08:47,85,13,0,0,2,low quality,Sentinel-1 Sentinel-2
2016-09-09 10:21:08,1939,232808,2016-09-09T10:21:08,90,0,7,1,2,high quality,Sentinel-2
2016-09-12 10:35:50,2016,232808,2016-09-12T10:35:50,87,10,0,0,3,low quality,Sentinel-1 Sentinel-2
2016-09-13 17:16:58,2093,232808,2016-09-13T17:16:58,92,6,0,0,2,low quality,Sentinel-1
2016-09-17 05:35:00,2170,232808,2016-09-17T05:35:00,76,21,0,0,3,low quality,Sentinel-1
2016-09-19 10:21:11,2247,232808,2016-09-19T10:21:11,0,0,0,97,3,high quality,Sentinel-1 Sentinel-2
2016-09-20 17:08:49,2312,232808,2016-09-20T17:08:49,88,9,0,0,3,low quality,Sentinel-1
2016-09-24 05:27:08,2366,232808,2016-09-24T05:27:08,85,12,0,0,3,low quality,Sentinel-1
2016-09-25 17:16:59,2443,232808,2016-09-25T17:16:59,92,6,0,0,2,low quality,Sentinel-1 Sentinel-2
2016-09-26 17:08:07,2508,232808,2016-09-26T17:08:07,89,8,0,0,3,low quality,Sentinel-1 Sentinel-2
2016-09-29 17:32:08,2562,232808,2016-09-29T17:32:08,86,1,10,0,3,high quality,Sentinel-1 Sentinel-2
2016-09-30 05:26:04,2639,232808,2016-09-30T05:26:04,86,11,0,0,3,low quality,Sentinel-1
2016-10-02 17:08:49,4159,232808,2016-10-02T17:08:49,89,8,0,0,3,low quality,Sentinel-1 Sentinel-2
2016-10-06 05:27:08,4208,232808,2016-10-06T05:27:08,86,12,0,0,2,low quality,Sentinel-1
2016-10-07 17:16:59,4285,232808,2016-10-07T17:16:59,92,6,0,0,2,low quality,Sentinel-1
2016-10-11 17:32:34,4362,232808,2016-10-11T17:32:34,76,23,0,0,1,low quality,Sentinel-1 Sentinel-2
2016-10-14 17:08:49,4432,232808,2016-10-14T17:08:49,78,19,0,0,3,low quality,Sentinel-1
2016-10-18 05:27:08,4481,232808,2016-10-18T05:27:08,85,12,0,0,3,low quality,Sentinel-1
2016-10-19 17:16:59,4558,232808,2016-10-19T17:16:59,90,7,0,0,3,low quality,Sentinel-1 Sentinel-2
2016-10-23 05:35:00,4635,232808,2016-10-23T05:35:00,74,24,0,0,2,low quality,Sentinel-1
2016-10-26 17:08:49,4705,232808,2016-10-26T17:08:49,84,13,0,0,3,low quality,Sentinel-1
2016-10-29 17:33:25,4754,232808,2016-10-29T17:33:25,0,0,0,96,4,high quality,Sentinel-1 Sentinel-2
2016-10-30 05:27:08,4831,232808,2016-10-30T05:27:08,80,17,0,0,3,low quality,Sentinel-1
2016-10-31 17:16:59,4908,232808,2016-10-31T17:16:59,89,9,0,0,2,low quality,Sentinel-1 Sentinel-2
2016-11-04 05:35:00,6076,232808,2016-11-04T05:35:00,74,24,0,0,2,low quality,Sentinel-1
2016-11-07 17:08:49,6145,232808,2016-11-07T17:08:49,73,24,0,0,3,low quality,Sentinel-1 Sentinel-2
2016-11-08 10:24:25,6195,232808,2016-11-08T10:24:25,78,20,0,0,2,high quality,Sentinel-1 Sentinel-2
2016-11-11 17:24:28,6272,232808,2016-11-11T17:24:28,82,15,0,0,3,low quality,Sentinel-1 Sentinel-2
2016-11-12 17:16:59,6349,232808,2016-11-12T17:16:59,87,11,0,0,2,low quality,Sentinel-1
2016-11-16 05:35:00,6426,232808,2016-11-16T05:35:00,74,24,0,0,2,low quality,Sentinel-1
2016-11-19 17:08:49,6495,232808,2016-11-19T17:08:49,75,23,0,0,2,low quality,Sentinel-1
2016-11-24 17:16:59,6545,232808,2016-11-24T17:16:59,84,14,0,0,2,low quality,Sentinel-1 Sentinel-2
2016-11-28 17:32:34,6622,232808,2016-11-28T17:32:34,78,11,9,0,2,high quality,Sentinel-1 Sentinel-2
2016-12-01 17:08:47,8282,232808,2016-12-01T17:08:47,78,19,0,0,3,low quality,Sentinel-1 Sentinel-2
2016-12-05 17:24:28,8330,232808,2016-12-05T17:24:28,74,24,0,0,2,low quality,Sentinel-1 Sentinel-2
2016-12-06 17:16:58,8407,232808,2016-12-06T17:16:58,79,19,0,0,2,low quality,Sentinel-1
2016-12-08 17:00:37,8484,232808,2016-12-08T17:00:37,73,6,20,0,1,high quality,Sentinel-1 Sentinel-2
2016-12-10 05:35:00,8561,232808,2016-12-10T05:35:00,61,36,0,0,3,low quality,Sentinel-1
2016-12-13 17:08:47,8632,232808,2016-12-13T17:08:47,68,30,0,0,2,low quality,Sentinel-1
2016-12-17 17:24:28,8680,232808,2016-12-17T17:24:28,62,35,0,0,3,low quality,Sentinel-1 Sentinel-2
2016-12-18 17:16:58,8757,232808,2016-12-18T17:16:58,32,42,24,0,2,high quality,Sentinel-1 Sentinel-2
2016-12-22 05:35:00,8834,232808,2016-12-22T05:35:00,52,45,0,0,3,low quality,Sentinel-1
2016-12-25 17:08:47,8905,232808,2016-12-25T17:08:47,63,34,0,0,3,low quality,Sentinel-1 Sentinel-2
2016-12-28 17:33:23,8953,232808,2016-12-28T17:33:23,11,72,15,0,2,high quality,Sentinel-1 Sentinel-2
2016-12-29 05:27:07,9030,232808,2016-12-29T05:27:07,54,43,0,0,3,low quality,Sentinel-1
2016-12-30 17:16:56,9107,232808,2016-12-30T17:16:56,66,32,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-01-03 17:32:31,10510,232808,2017-01-03T17:32:31,45,54,0,0,1,low quality,Sentinel-1 Sentinel-2
2017-01-06 17:08:46,10580,232808,2017-01-06T17:08:46,41,56,0,0,3,low quality,Sentinel-1
2017-01-07 10:26:58,10628,232808,2017-01-07T10:26:58,0,0,0,96,4,high quality,Sentinel-1 Sentinel-2
2017-01-10 17:24:26,10705,232808,2017-01-10T17:24:26,38,60,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-01-11 17:16:56,10782,232808,2017-01-11T17:16:56,56,42,0,0,2,low quality,Sentinel-1
2017-01-15 05:34:58,10859,232808,2017-01-15T05:34:58,34,63,0,0,3,low quality,Sentinel-1
2017-01-18 17:08:44,10929,232808,2017-01-18T17:08:44,35,63,0,0,2,low quality,Sentinel-1
2017-01-23 17:16:56,10978,232808,2017-01-23T17:16:56,50,48,0,0,2,low quality,Sentinel-1
2017-01-27 17:32:31,11055,232808,2017-01-27T17:32:31,0,98,0,0,2,high quality,Sentinel-1 Sentinel-2
2017-01-30 17:08:44,11125,232808,2017-01-30T17:08:44,23,75,0,0,2,low quality,Sentinel-1
2017-02-03 05:27:04,12448,232808,2017-02-03T05:27:04,31,66,0,0,3,low quality,Sentinel-1
2017-02-04 17:16:54,12525,232808,2017-02-04T17:16:54,50,48,0,0,2,low quality,Sentinel-1
2017-02-08 05:34:58,12597,232808,2017-02-08T05:34:58,24,74,0,0,2,low quality,Sentinel-1
2017-02-11 17:08:44,12664,232808,2017-02-11T17:08:44,20,77,0,0,3,low quality,Sentinel-1
2017-02-15 17:24:26,12716,232808,2017-02-15T17:24:26,27,70,0,0,3,low quality,Sentinel-1 Sentinel-2
2017-02-16 17:16:54,12793,232808,2017-02-16T17:16:54,0,98,0,0,2,high quality,Sentinel-1 Sentinel-2
2017-02-20 05:34:57,12870,232808,2017-02-20T05:34:57,15,83,0,0,2,low quality,Sentinel-1
2017-02-23 17:08:44,12937,232808,2017-02-23T17:08:44,14,83,0,0,3,low quality,Sentinel-1 Sentinel-2
2017-02-26 17:33:21,12972,232808,2017-02-26T17:33:21,0,0,0,96,4,high quality,Sentinel-1 Sentinel-2
2017-02-27 05:27:04,13003,232808,2017-02-27T05:27:04,16,81,0,0,3,low quality,Sentinel-1
2017-02-28 17:16:54,13080,232808,2017-02-28T17:16:54,46,53,0,0,1,low quality,Sentinel-1 Sentinel-2
2017-03-04 05:34:57,15501,232808,2017-03-04T05:34:57,11,87,0,0,2,low quality,Sentinel-1
2017-03-06 17:16:11,15578,232808,2017-03-06T17:16:11,48,49,0,0,3,low quality,Sentinel-1
